surface,type,paths,current_issue,recommendation,rationale,priority,plugin_impact,visual_impact,interaction_impact
Shell root,layout,apps/web/src/app/Root.tsx,"Good shell base, but route-local and diagnostic concerns are not yet clearly separated.","Stabilize a 5-zone shell: top bar, activity rail, center workspace, inspector, diagnostics panel.",A professional product needs fixed grammar before adding more features.,P0,medium,high,high
Top app bar,global chrome,apps/web/src/app/components/TopAppBar.tsx; apps/web/src/app/components/topAppBar/*,"Overloaded with workspace selectors, connection state, git ref, panel toggles, focus mode and grid controls.","Keep only global identity, status, quick switch and global actions; move route-local controls down.",Users should not parse route-local mechanics in the same visual band as product identity.,P0,medium,high,high
Left navigation,primary navigation,apps/web/src/app/components/LeftNavigation.tsx; apps/web/src/app/routes.ts; apps/web/src/app/shell/useShellRuntime.ts,Current core nav risks fragmenting the workflow into too many top-level destinations.,"Keep an icon-first activity rail, but simplify core task families and group core/extended/admin.","Primary navigation should reflect task model, not implementation detail.",P0,high,medium,high
Shell health surfaces,status,apps/web/src/app/components/ShellHealthBanner.tsx; apps/web/src/app/components/topAppBar/TopAppBarConnectionStatus.tsx,Status exists in more than one place but hierarchy between summary and interruptive banner can be sharpened.,Use top bar for compact summary and banner only when action or degraded context matters.,"State communication should be layered, not duplicated.",P1,low,medium,medium
View header,route template,apps/web/src/app/components/domain/ViewHeader.tsx,"Useful composite exists, but route-level grammar is not fully standardized around it.","Turn ViewHeader into the canonical route header with title, subtitle, status and actions.",Shared route framing raises consistency fast with low code churn.,P0,medium,high,medium
Canvas entry,route composition,apps/web/src/app/views/Canvas.tsx,Canvas is central but still behaves more like one graph route than a full workspace.,Treat Canvas as the operational workbench entry and host contextual tabs from here.,"The graph is the map; the user task extends into code, diff, artifacts and runtime.",P1,high,medium,high
Canvas shell,layout,apps/web/src/app/views/canvas/CanvasShell.tsx,"Strong three-pane baseline, but not yet the canonical workbench template for the product.",Promote it to the canonical workbench shell with tab strip and diagnostics integration.,"The strongest existing layout should become the product standard, not remain route-specific.",P0,high,medium,high
Canvas toolbar,local controls,apps/web/src/app/views/canvas/CanvasToolbar.tsx,Mixed responsibilities and raw visual styling; some controls compete with top-bar controls.,Limit this toolbar to route-local actions and plugin toolbar slots.,"Users should know whether a control affects the workspace, the route, or only the graph.",P0,high,medium,high
Canvas viewport,graph surface,apps/web/src/app/views/canvas/CanvasViewport.tsx; apps/web/src/styles/index.css,"Grid, minimap and controls are functional but still visually noisy and partly hardcoded.","Quiet the grid, token-bridge React Flow chrome, and add saved views / frames / zones.","Large-board work needs wayfinding, not decoration.",P0,high,high,high
Explorer panel,navigation within route,apps/web/src/app/components/DbtExplorer.tsx,Explorer exists but should become a stronger task-oriented navigator for large graphs.,"Add filters, sections, recent focus points and saved views.",Large boards need secondary navigation beyond pan/zoom.,P1,medium,medium,high
Inspector panel,contextual detail,apps/web/src/app/components/InspectorPanel.tsx; plugin inspector contributions,Context surface exists but needs a clearer panel grammar and hierarchy.,Standardize summary/runtime/sql/lineage/plugin panel order and affordances.,Context panels should answer specific questions in predictable places.,P1,high,medium,high
Runs view,operational route,apps/web/src/app/views/RunsView.tsx; apps/web/src/app/views/runs/*,Needs more density and a stronger list/detail or table/detail pattern.,"Move toward a split cockpit: filters, run list/table, detail, timeline, diagnostics.","Monitoring and triage work benefit from dense, comparable layouts.",P1,medium,high,high
Console / diagnostics,bottom panel,apps/web/src/app/components/Console.tsx,"Useful bottom drawer, but too narrowly framed as a console and limited in API mode.","Convert it into a diagnostics workspace with tabs for Events, Logs, Problems and Output.","Bottom panels should aggregate runtime signal, not be one single-purpose surface.",P0,high,medium,high
Code view,code surface,apps/web/src/app/views/CodeView.tsx; apps/web/src/app/views/code/*,"Standalone route works, but breaks the natural graph-to-code workflow into another destination.","Keep route support, but prefer contextual opening in tabs from node or run context.","Users usually want code of something, not the generic idea of a code screen.",P1,high,medium,high
Diff view,comparison surface,apps/web/src/app/views/DiffView.tsx; apps/web/src/app/views/diff/*,"Good capability, but route-level separation adds context switching.","Retain route, but move the main usage pattern toward contextual compare tabs and route header standardization.","Diff is usually subordinate to a selected artifact, node or run.",P1,high,medium,high
Artifacts view,catalog + preview,apps/web/src/app/views/ArtifactsView.tsx; apps/web/src/app/views/artifacts/*,"Useful route, but still visually and structurally closer to a composed screen than a polished catalog surface.",Adopt a left catalog + right preview grammar and unify tokens.,Artifact work benefits from stable browse/preview anatomy.,P1,medium,high,medium
Plugins view,extension manager,apps/web/src/app/views/PluginsView.tsx,"Strong diagnostic data, but not yet productized as an extension manager.",Convert to a searchable plugin catalog/table with details drawer and compatibility truth model.,"Pluginization should be visible as product capability, not only as technical introspection.",P0,high,high,high
